Word1,Word2,Similarity Score,Ground Truth similarity score,Label
मोहब्बत,सेक्स,4.3,6.8,0
बाघ,बिल्ली,6.0,7.0,1
किताब,कागज़,6.4,7.6,1
कंप्यूटर,कीबोर्ड,6.3,7.6,1
कंप्यूटर,इंटरनेट,8.0,8.0,1
विमान,कार,7.2,6.0,1
रेलगाड़ी,कार,6.6,6.2,1
टेलीफोन,संचार,5.8,7.6,1
टेलीविजन,रेडियो,7.8,6.4,1
मीडिया,रेडियो,6.5,5.8,1
ब्रेड,मक्खन,6.9,6.6,1
खीरा,आलू,6.8,5.8,1
चिकित्सक,नर्स,7.4,7.6,1
प्रोफ़ेसर,चिकित्सक,5.7,4.6,1
छात्र,प्रोफ़ेसर,5.3,7.0,1
होशियार,छात्र,4.6,5.2,0
होशियार,बेवकूफ,6.3,6.2,1
किताब,पुस्तकालय,4.8,7.6,0
बैंक,पैसे,6.7,8.0,1
लकड़ी,जंगल,6.4,7.0,1
प्रोफ़ेसर,खीरा,-0.1,0.0,0
राजा,रानी,7.5,8.2,1
बिशप,रबी,0.8,7.0,0
यरूशलेम,इजराइल,5.5,7.8,1
पवित्र,सेक्स,4.2,1.0,0
माराडोना,फ़ुटबॉल,4.1,7.8,0
फ़ुटबॉल,सॉकर,8.0,9.0,1
फ़ुटबॉल,बास्केटबाल,6.7,6.4,1
फ़ुटबॉल,टेनिस,6.8,5.8,1
टेनिस,रैकेट,4.5,7.4,0
कानून,वकील,6.5,7.8,1
चलचित्र,पॉपकॉर्न,1.6,6.6,0
चलचित्र,आलोचक,4.1,6.6,0
चलचित्र,थिएटर,5.3,8.4,1
पीना,कार,2.5,1.4,0
पीना,कान,4.4,0.4,0
पीना,मुंह,4.6,7.0,0
बच्चा,मां,7.3,7.2,1
पीना,मां,4.2,1.8,0
मणि,गहना,3.5,6.8,0
भट्ठी,स्टोव,6.3,8.4,1
भोजन,फल,7.6,6.6,1
पक्षी,सारस,7.7,7.4,1
भाई,साधु,4.9,1.4,0
यात्रा,कार,5.8,6.2,1
साधु,गुलाम,3.3,0.2,0
कांच,जादूगर,3.3,2.0,0
पैसे,मुद्रा,6.1,8.6,1
पैसे,धन,7.9,9.2,1
पैसे,संपत्ति,6.9,8.4,1
पैसे,बैंक,6.7,8.2,1
पैसे,जमा,7.1,6.6,1
पैसे,ऑपरेशन,3.5,2.6,0
बाघ,जैगुआर,2.7,8.0,0
बाघ,जानवर,7.8,7.6,1
बाघ,चिड़ियाघर,6.4,6.8,1
मनोविज्ञान,चिंता,4.4,6.2,0
मनोविज्ञान,डर,3.3,5.2,0
मनोविज्ञान,डिप्रेशन,4.4,7.0,0
मनोविज्ञान,क्लिनिक,4.5,6.4,0
मनोविज्ञान,चिकित्सक,6.0,7.0,1
मनोविज्ञान,मन,3.8,7.4,0
मनोविज्ञान,स्वास्थ्य,6.0,6.2,1
मनोविज्ञान,विज्ञान,8.3,7.0,1
मनोविज्ञान,अनुशासन,6.1,4.2,1
Total Accuracy: 0.723,,,,
Total Accuracy: 0.723,,,,
Total Accuracy: 0.723,,,,
Total Accuracy: 0.723,,,,
Total Accuracy: 0.723,,,,
