Word1,Word2,Similarity Score,Ground Truth similarity score,Label
मोहब्बत,सेक्स,3.1,6.8,0
बाघ,बिल्ली,5.3,7.0,0
किताब,कागज़,5.5,7.6,0
कंप्यूटर,कीबोर्ड,7.7,7.6,0
कंप्यूटर,इंटरनेट,8.1,8.0,1
विमान,कार,6.4,6.0,0
रेलगाड़ी,कार,7.5,6.2,0
टेलीफोन,संचार,3.7,7.6,0
टेलीविजन,रेडियो,8.0,6.4,1
मीडिया,रेडियो,5.0,5.8,0
ब्रेड,मक्खन,8.2,6.6,1
खीरा,आलू,8.3,5.8,1
चिकित्सक,नर्स,7.2,7.6,0
प्रोफ़ेसर,चिकित्सक,4.7,4.6,0
छात्र,प्रोफ़ेसर,4.5,7.0,0
होशियार,छात्र,2.2,5.2,0
होशियार,बेवकूफ,6.0,6.2,0
किताब,पुस्तकालय,2.9,7.6,0
बैंक,पैसे,4.4,8.0,0
लकड़ी,जंगल,5.5,7.0,0
प्रोफ़ेसर,खीरा,-0.1,0.0,0
राजा,रानी,6.6,8.2,0
बिशप,रबी,-1.2,7.0,0
यरूशलेम,इजराइल,5.5,7.8,0
पवित्र,सेक्स,1.0,1.0,0
माराडोना,फ़ुटबॉल,7.3,7.8,0
फ़ुटबॉल,सॉकर,8.8,9.0,1
फ़ुटबॉल,बास्केटबाल,7.9,6.4,0
फ़ुटबॉल,टेनिस,8.4,5.8,1
टेनिस,रैकेट,2.2,7.4,0
कानून,वकील,3.8,7.8,0
चलचित्र,पॉपकॉर्न,2.4,6.6,0
चलचित्र,आलोचक,3.6,6.6,0
चलचित्र,थिएटर,5.9,8.4,0
पीना,कार,0.1,1.4,0
पीना,कान,1.4,0.4,0
पीना,मुंह,2.3,7.0,0
बच्चा,मां,5.3,7.2,0
पीना,मां,1.7,1.8,0
मणि,गहना,3.6,6.8,0
भट्ठी,स्टोव,7.9,8.4,0
भोजन,फल,6.4,6.6,0
पक्षी,सारस,8.7,7.4,1
भाई,साधु,3.4,1.4,0
यात्रा,कार,3.7,6.2,0
साधु,गुलाम,2.0,0.2,0
कांच,जादूगर,2.3,2.0,0
पैसे,मुद्रा,2.7,8.6,0
पैसे,धन,6.7,9.2,0
पैसे,संपत्ति,4.6,8.4,0
पैसे,बैंक,4.4,8.2,0
पैसे,जमा,4.2,6.6,0
पैसे,ऑपरेशन,1.5,2.6,0
बाघ,जैगुआर,2.2,8.0,0
बाघ,जानवर,7.4,7.6,0
बाघ,चिड़ियाघर,6.2,6.8,0
मनोविज्ञान,चिंता,1.7,6.2,0
मनोविज्ञान,डर,-0.4,5.2,0
मनोविज्ञान,डिप्रेशन,3.7,7.0,0
मनोविज्ञान,क्लिनिक,3.1,6.4,0
मनोविज्ञान,चिकित्सक,4.5,7.0,0
मनोविज्ञान,मन,2.5,7.4,0
मनोविज्ञान,स्वास्थ्य,4.3,6.2,0
मनोविज्ञान,विज्ञान,7.9,7.0,0
मनोविज्ञान,अनुशासन,5.8,4.2,0
Total Accuracy: 0.785,,,,
Total Accuracy: 0.785,,,,
Total Accuracy: 0.785,,,,
Total Accuracy: 0.785,,,,
Total Accuracy: 0.785,,,,
