Word1,Word2,Similarity Score,Ground Truth similarity score,Label
मोहब्बत,सेक्स,4.1,6.8,1
बाघ,बिल्ली,7.0,7.0,1
किताब,कागज़,6.0,7.6,1
कंप्यूटर,कीबोर्ड,7.5,7.6,1
कंप्यूटर,इंटरनेट,8.1,8.0,1
विमान,कार,7.0,6.0,1
रेलगाड़ी,कार,6.7,6.2,1
टेलीफोन,संचार,6.1,7.6,1
टेलीविजन,रेडियो,8.5,6.4,1
मीडिया,रेडियो,6.4,5.8,1
ब्रेड,मक्खन,7.7,6.6,1
खीरा,आलू,8.6,5.8,1
चिकित्सक,नर्स,7.3,7.6,1
प्रोफ़ेसर,चिकित्सक,6.2,4.6,1
छात्र,प्रोफ़ेसर,5.6,7.0,1
होशियार,छात्र,5.1,5.2,1
होशियार,बेवकूफ,6.2,6.2,1
किताब,पुस्तकालय,5.1,7.6,1
बैंक,पैसे,5.9,8.0,1
लकड़ी,जंगल,6.3,7.0,1
प्रोफ़ेसर,खीरा,1.5,0.0,0
राजा,रानी,7.5,8.2,1
बिशप,रबी,1.2,7.0,0
यरूशलेम,इजराइल,5.8,7.8,1
पवित्र,सेक्स,2.7,1.0,0
माराडोना,फ़ुटबॉल,7.9,7.8,1
फ़ुटबॉल,सॉकर,8.9,9.0,1
फ़ुटबॉल,बास्केटबाल,7.8,6.4,1
फ़ुटबॉल,टेनिस,8.3,5.8,1
टेनिस,रैकेट,5.7,7.4,1
कानून,वकील,5.5,7.8,1
चलचित्र,पॉपकॉर्न,3.9,6.6,0
चलचित्र,आलोचक,3.8,6.6,0
चलचित्र,थिएटर,6.5,8.4,1
पीना,कार,4.2,1.4,1
पीना,कान,4.9,0.4,1
पीना,मुंह,5.2,7.0,1
बच्चा,मां,5.8,7.2,1
पीना,मां,4.1,1.8,1
मणि,गहना,4.8,6.8,1
भट्ठी,स्टोव,7.7,8.4,1
भोजन,फल,7.0,6.6,1
पक्षी,सारस,9.1,7.4,1
भाई,साधु,4.0,1.4,1
यात्रा,कार,4.8,6.2,1
साधु,गुलाम,2.9,0.2,0
कांच,जादूगर,4.5,2.0,1
पैसे,मुद्रा,5.5,8.6,1
पैसे,धन,6.7,9.2,1
पैसे,संपत्ति,6.2,8.4,1
पैसे,बैंक,5.9,8.2,1
पैसे,जमा,6.2,6.6,1
पैसे,ऑपरेशन,4.2,2.6,1
बाघ,जैगुआर,5.0,8.0,1
बाघ,जानवर,7.7,7.6,1
बाघ,चिड़ियाघर,7.4,6.8,1
मनोविज्ञान,चिंता,3.8,6.2,0
मनोविज्ञान,डर,2.5,5.2,0
मनोविज्ञान,डिप्रेशन,5.3,7.0,1
मनोविज्ञान,क्लिनिक,5.2,6.4,1
मनोविज्ञान,चिकित्सक,6.2,7.0,1
मनोविज्ञान,मन,4.4,7.4,1
मनोविज्ञान,स्वास्थ्य,5.5,6.2,1
मनोविज्ञान,विज्ञान,8.5,7.0,1
मनोविज्ञान,अनुशासन,6.6,4.2,1
Total Accuracy: 0.831,,,,
Total Accuracy: 0.831,,,,
Total Accuracy: 0.831,,,,
Total Accuracy: 0.831,,,,
Total Accuracy: 0.831,,,,
