Word1,Word2,Similarity Score,Ground Truth similarity score,Label
मोहब्बत,सेक्स,4.6,6.8,0
बाघ,बिल्ली,7.0,7.0,0
किताब,कागज़,6.2,7.6,0
कंप्यूटर,कीबोर्ड,7.4,7.6,1
कंप्यूटर,इंटरनेट,8.1,8.0,1
विमान,कार,7.3,6.0,1
रेलगाड़ी,कार,7.5,6.2,1
टेलीफोन,संचार,6.1,7.6,0
टेलीविजन,रेडियो,8.3,6.4,1
मीडिया,रेडियो,6.6,5.8,0
ब्रेड,मक्खन,7.8,6.6,1
खीरा,आलू,8.8,5.8,1
चिकित्सक,नर्स,7.5,7.6,1
प्रोफ़ेसर,चिकित्सक,5.7,4.6,0
छात्र,प्रोफ़ेसर,5.5,7.0,0
होशियार,छात्र,5.0,5.2,0
होशियार,बेवकूफ,6.4,6.2,0
किताब,पुस्तकालय,5.1,7.6,0
बैंक,पैसे,6.2,8.0,0
लकड़ी,जंगल,6.2,7.0,0
प्रोफ़ेसर,खीरा,0.8,0.0,0
राजा,रानी,7.3,8.2,1
बिशप,रबी,0.6,7.0,0
यरूशलेम,इजराइल,5.9,7.8,0
पवित्र,सेक्स,2.6,1.0,0
माराडोना,फ़ुटबॉल,8.2,7.8,1
फ़ुटबॉल,सॉकर,8.9,9.0,1
फ़ुटबॉल,बास्केटबाल,7.6,6.4,1
फ़ुटबॉल,टेनिस,8.1,5.8,1
टेनिस,रैकेट,5.5,7.4,0
कानून,वकील,5.8,7.8,0
चलचित्र,पॉपकॉर्न,3.8,6.6,0
चलचित्र,आलोचक,4.1,6.6,0
चलचित्र,थिएटर,6.1,8.4,0
पीना,कार,2.7,1.4,0
पीना,कान,4.7,0.4,0
पीना,मुंह,5.3,7.0,0
बच्चा,मां,6.1,7.2,0
पीना,मां,3.9,1.8,0
मणि,गहना,4.2,6.8,0
भट्ठी,स्टोव,7.9,8.4,1
भोजन,फल,7.1,6.6,1
पक्षी,सारस,9.0,7.4,1
भाई,साधु,4.5,1.4,0
यात्रा,कार,5.4,6.2,0
साधु,गुलाम,3.4,0.2,0
कांच,जादूगर,4.6,2.0,0
पैसे,मुद्रा,5.7,8.6,0
पैसे,धन,7.2,9.2,1
पैसे,संपत्ति,6.4,8.4,0
पैसे,बैंक,6.2,8.2,0
पैसे,जमा,6.2,6.6,0
पैसे,ऑपरेशन,3.8,2.6,0
बाघ,जैगुआर,5.0,8.0,0
बाघ,जानवर,7.8,7.6,1
बाघ,चिड़ियाघर,7.3,6.8,1
मनोविज्ञान,चिंता,4.2,6.2,0
मनोविज्ञान,डर,2.9,5.2,0
मनोविज्ञान,डिप्रेशन,5.1,7.0,0
मनोविज्ञान,क्लिनिक,5.2,6.4,0
मनोविज्ञान,चिकित्सक,6.0,7.0,0
मनोविज्ञान,मन,4.6,7.4,0
मनोविज्ञान,स्वास्थ्य,5.6,6.2,0
मनोविज्ञान,विज्ञान,8.3,7.0,1
मनोविज्ञान,अनुशासन,6.8,4.2,0
Total Accuracy: 0.538,,,,
Total Accuracy: 0.538,,,,
Total Accuracy: 0.538,,,,
Total Accuracy: 0.538,,,,
Total Accuracy: 0.538,,,,
